Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
jpeg_idct_16x16,2.047982,2.047982,0.0,0.0,libjpeg.so.9,jpeg_idct_16x16,[Unknown],0x2b2f0
__memmove_avx_unaligned_erms,1.539995,1.539995,0.0,0.0,libc.so.6,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x18b5f0
ImagingUnpackRGB,1.480051,1.480051,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,ImagingUnpackRGB,[Unknown],0x614e0
ycc_rgb_convert,1.187855,1.187855,0.0,0.0,libjpeg.so.9,ycc_rgb_convert,[Unknown],0x15d10
jpeg_idct_islow,0.652056,0.652056,0.0,0.0,libjpeg.so.9,jpeg_idct_islow,[Unknown],0x27860
decode_mcu,0.144010,0.144010,0.0,0.0,libjpeg.so.9,decode_mcu,[Unknown],0x18840
decompress_onepass,0.084001,0.084001,0.0,0.0,libjpeg.so.9,decompress_onepass,[Unknown],0x15360
__memset_avx2_unaligned_erms,0.024000,0.024000,0.0,0.0,libc.so.6,__memset_avx2_unaligned_erms,memset-vec-unaligned-erms.S,0x18ba70
jpeg_fill_bit_buffer,0.012001,0.012001,0.0,0.0,libjpeg.so.9,jpeg_fill_bit_buffer,[Unknown],0x17250
__libc_calloc,0.009435,0.009435,0.0,0.0,libc.so.6,__libc_calloc,malloc.c,0x9bb40
__libc_read,0.008000,0.008000,0.0,0.0,libpthread.so.0,__libc_read,read.c,0x13320
