Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
jpeg_idct_16x16,2.387922,2.387922,0.0,0.0,libjpeg.so.9,jpeg_idct_16x16,[Unknown],0x2b2f0
__memmove_avx_unaligned_erms,1.597998,1.597998,0.0,0.0,libc.so.6,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x18b5f0
ImagingUnpackRGB,1.524029,1.524029,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,ImagingUnpackRGB,[Unknown],0x614e0
ycc_rgb_convert,1.115931,1.115931,0.0,0.0,libjpeg.so.9,ycc_rgb_convert,[Unknown],0x15d10
jpeg_idct_islow,0.500090,0.500090,0.0,0.0,libjpeg.so.9,jpeg_idct_islow,[Unknown],0x27860
decompress_onepass,0.123977,0.123977,0.0,0.0,libjpeg.so.9,decompress_onepass,[Unknown],0x15360
decode_mcu,0.075999,0.075999,0.0,0.0,libjpeg.so.9,decode_mcu,[Unknown],0x18840
__memset_avx2_unaligned_erms,0.032001,0.032001,0.0,0.0,libc.so.6,__memset_avx2_unaligned_erms,memset-vec-unaligned-erms.S,0x18ba70
__libc_calloc,0.012024,0.012024,0.0,0.0,libc.so.6,__libc_calloc,malloc.c,0x9bb40
